epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,23106.5,0.93355,0.8565,1.19552,0.83069,0.8295,0.86608,0.64486,0.85989,0.59277,1.06002,0.006304,0.006304,0.006304
58,24645.5,0.93115,0.85557,1.19515,0.83109,0.8296,0.8664,0.64549,0.85874,0.59148,1.05887,0.006238,0.006238,0.006238
59,26139.8,0.93043,0.85119,1.19368,0.83073,0.82959,0.86684,0.64629,0.85774,0.59041,1.05794,0.006172,0.006172,0.006172
60,27619.7,0.92661,0.83961,1.18868,0.83286,0.82941,0.86785,0.64697,0.85695,0.58887,1.05727,0.006106,0.006106,0.006106
61,29113.1,0.92572,0.8468,1.18865,0.83193,0.83111,0.86813,0.64784,0.85628,0.58742,1.05672,0.00604,0.00604,0.00604
62,30595.1,0.92031,0.83365,1.18651,0.83125,0.83244,0.86864,0.64842,0.85558,0.58638,1.05603,0.005974,0.005974,0.005974
63,32099.8,0.92024,0.83409,1.18483,0.83358,0.83137,0.86947,0.649,0.85473,0.58519,1.05522,0.005908,0.005908,0.005908
64,33574.4,0.91897,0.83347,1.18291,0.83484,0.83155,0.87035,0.65004,0.85381,0.58401,1.05436,0.005842,0.005842,0.005842
65,35052.5,0.91798,0.82596,1.1839,0.83542,0.83188,0.87122,0.65123,0.85287,0.5827,1.05362,0.005776,0.005776,0.005776
66,36523.2,0.91248,0.82661,1.18059,0.83829,0.83198,0.87191,0.65202,0.85204,0.58127,1.05284,0.00571,0.00571,0.00571
67,37998.2,0.90939,0.81653,1.1778,0.83753,0.8321,0.87214,0.65257,0.85128,0.58014,1.05223,0.005644,0.005644,0.005644
68,39478.4,0.90611,0.81076,1.17787,0.83813,0.83283,0.87273,0.65317,0.85062,0.57895,1.05168,0.005578,0.005578,0.005578
69,41033.8,0.90592,0.81246,1.17596,0.8381,0.8345,0.87294,0.65388,0.8496,0.57782,1.0509,0.005512,0.005512,0.005512
70,42617.3,0.90369,0.80765,1.17616,0.83751,0.83535,0.87317,0.65412,0.84884,0.57635,1.05005,0.005446,0.005446,0.005446
71,44204.7,0.90434,0.81193,1.17357,0.83778,0.83609,0.87322,0.65484,0.84779,0.57488,1.04906,0.00538,0.00538,0.00538
72,45776.4,0.90016,0.80238,1.17355,0.8376,0.83715,0.87397,0.65554,0.8468,0.57269,1.04832,0.005314,0.005314,0.005314
73,47275.5,0.90464,0.80521,1.17353,0.83586,0.83759,0.87464,0.65573,0.84554,0.5708,1.04724,0.005248,0.005248,0.005248
74,48763.9,0.90068,0.80071,1.17309,0.83714,0.83793,0.87607,0.65669,0.84441,0.56959,1.04648,0.005182,0.005182,0.005182
75,1575.28,0.87152,0.75253,1.15815,0.83742,0.83783,0.87648,0.65712,0.84377,0.5683,1.04602,0.005116,0.005116,0.005116
76,3043.73,0.88667,0.779,1.1675,0.83099,0.84625,0.87669,0.65796,0.84308,0.567,1.0455,0.00505,0.00505,0.00505
77,4489.67,0.88703,0.78019,1.16771,0.83171,0.8475,0.87704,0.65829,0.8424,0.5661,1.04507,0.004984,0.004984,0.004984
